simulation_date,moisture_percent,moisture_exposure_increment_percent_hour,day,cumulative_moisture_exposure_percent_hour
t0,14.0,0.0,0,0.0
2026-08-19,12.998348390768728,24.504352342944358,1,24.504352342944358
2026-08-20,16.369995973693467,58.851543799022295,2,83.35589614196665
2026-08-21,16.470974503753755,77.8830052148845,3,161.23890135685116
2026-08-22,9.949501158306186,8.065804363307402,4,169.30470572015855
2026-08-23,10.431766251637265,11.338431143459095,5,180.64313686361766
2026-08-24,12.896575087432339,25.050024100194257,6,205.69316096381192
2026-08-25,15.291905246473483,66.85822993392082,7,272.55139089773274
2026-08-26,8.279775961896092,0.0,8,272.55139089773274
2026-08-27,9.404927662800734,0.5164810641906055,9,273.06787196192334
2026-08-28,10.128179951726043,9.20146164339868,10,282.269333605322
2026-08-29,14.84648785268769,34.561842320558,11,316.83117592588
2026-08-30,11.941085313958473,42.98503324848214,12,359.81620917436214
2026-08-31,9.903102871416712,1.8425542154351877,13,361.65876338979734
2026-09-01,13.580964383060895,29.3329727953,14,390.99173618509735
2026-09-02,13.96297388351313,65.83896439095905,15,456.8307005760564
2026-09-03,12.341139119767547,36.92242514357952,16,493.75312571963593
2026-09-04,13.424737291511404,37.855474256307886,17,531.6085999759438
2026-09-05,16.49232045957152,78.94761932786021,18,610.556219303804
2026-09-06,17.698457312470648,101.18963234159642,19,711.7458516454004
2026-09-07,23.43810394332385,226.51449463977232,20,938.2603462851728
2026-09-08,15.246999948647803,69.20680190070318,21,1007.467148185876
2026-09-09,14.650665594697388,65.85826809088842,22,1073.3254162767644
2026-09-10,15.79970563288443,59.733094385357745,23,1133.0585106621222
2026-09-11,12.113012303556213,35.695530016616175,24,1168.7540406787384
2026-09-12,12.558020807932893,14.383564623563773,25,1183.1376053023023
2026-09-13,15.185764110107387,67.60434304082428,26,1250.7419483431265
2026-09-14,14.687439192561863,47.93162992868211,27,1298.6735782718085
2026-09-15,16.99125889124665,83.38331332584478,28,1382.0568915976532
2026-09-16,18.38266049606634,126.24381344407504,29,1508.3007050417282
2026-09-17,16.97517227527095,82.210206930237,30,1590.5109119719652
